1,00:00:57,0,"0,00 %","0,00 %","0,00 US$"
2,00:01:39,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:25,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:27,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:18,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:34,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
1,00:07:38,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,1,"100,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:02,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:27,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:06,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
1,00:01:11,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:14,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:09,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,1,"100,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:16:11,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:53,0,"0,00 %","0,00 %","0,00 US$"
1,00:01:51,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:06:24,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:58,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
1,00:02:33,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:22,0,"0,00 %","0,00 %","0,00 US$"
1,00:15:48,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:09,0,"0,00 %","0,00 %","0,00 US$"
1,00:08:47,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:05,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,1,"100,00 %","100,00 %","0,00 US$"
1,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:00,1,"100,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:05,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:05,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:06,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:04:28,0,"0,00 %","0,00 %","0,00 US$"
1,00:01:03,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:10,0,"0,00 %","0,00 %","0,00 US$"
1,00:17:51,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:01:00,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:30,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:01:15,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:22,0,"0,00 %","0,00 %","0,00 US$"
3.114,00:02:55,240,"43,43 %","37,08 %","0,00 US$"
















































