senesetravel,administracion,estado-cuenta,3,1,00:00:08,0,"0
soypasajero,administracion,estado-cuenta,3,2,00:00:14,0,"0
sportingclubmutualsocialde,administracion,estado-cuenta,3,1,00:02:54,0,"0
tandilturviajesyturismo,administracion,estado-cuenta,3,3,00:00:18,0,"0
tiara,administracion,estado-cuenta,3,3,00:00:13,0,"0
wairatravel,administracion,estado-cuenta,3,3,00:00:07,0,"0
aliarviajes,administracion,estado-cuenta,2,2,00:00:00,0,"0
animatravel,administracion,estado-cuenta,2,2,00:00:32,0,"0
antoniettiviajes,administracion,estado-cuenta,2,1,00:00:11,0,"0
brissioco,administracion,estado-cuenta,2,1,00:01:18,0,"0
cortravel,administracion,estado-cuenta,2,2,00:00:00,0,"0
daviaviajesyturismo,administracion,estado-cuenta,2,1,00:03:25,0,"0
dejeanviajesyturismo,administracion,estado-cuenta,2,2,00:00:00,0,"0
elfaroviajes,administracion,estado-cuenta,2,1,00:00:03,0,"0
ENTREMARES,administracion,estado-cuenta,2,2,00:00:03,0,"0
essenya,administracion,estado-cuenta,2,2,00:00:02,0,"0
friedrich,administracion,estado-cuenta,2,2,00:02:35,0,"0
garzonviajesyturismo,administracion,estado-cuenta,2,2,00:00:00,0,"0
geordaturismo,administracion,estado-cuenta,2,2,00:00:34,1,"100
giardino,administracion,estado-cuenta,2,2,00:00:00,0,"0
giselrodriguezviajes,administracion,estado-cuenta,2,1,00:00:09,0,"0
gloria,administracion,estado-cuenta,2,1,00:00:31,0,"0
gowgroupofwind,administracion,estado-cuenta,2,1,00:00:12,0,"0
graciel,administracion,estado-cuenta,2,1,00:00:04,0,"0
grupoypora,administracion,estado-cuenta,2,1,00:00:17,0,"0
iconoviajes,administracion,estado-cuenta,2,1,00:00:28,0,"0
KaizenViajes,administracion,estado-cuenta,tipo,productos,2,2,00:12:02
koraikenviajes,administracion,estado-cuenta,2,2,00:00:30,0,"0
lifetrip,administracion,estado-cuenta,2,2,00:00:18,1,"0
londontravelagency,administracion,estado-cuenta,2,1,00:00:13,0,"0
manadaviajera,administracion,estado-cuenta,2,2,00:00:00,0,"0
martineztravelgroup,administracion,estado-cuenta,tipo,productos,2,1,00:06:28
martur,administracion,estado-cuenta,2,2,00:02:02,0,"0
matienzo,administracion,estado-cuenta,2,2,00:02:05,0,"0
millantiviajes,administracion,estado-cuenta,2,2,00:00:23,0,"0
mioturismo,administracion,estado-cuenta,2,2,00:00:16,0,"0
musicalisimoviajes,administracion,estado-cuenta,2,2,00:03:31,0,"0
okviajes,administracion,estado-cuenta,2,2,00:00:12,0,"0
oniriaserviciosturisticos,administracion,estado-cuenta,tipo,productos,2,2,00:12:46
ontimeviajes,administracion,estado-cuenta,2,2,00:11:07,0,"0
pasajesscouts,administracion,estado-cuenta,2,2,00:00:43,0,"0
paulviajes,administracion,estado-cuenta,tipo,productos,2,1,00:00:48
plustraveluy,administracion,estado-cuenta,2,1,00:01:04,0,"0
sainttropez,administracion,estado-cuenta,2,2,00:00:59,0,"0
sanluistravel,administracion,estado-cuenta,2,2,00:00:11,0,"0
sindicatoregionaldeluzyfuerza,administracion,estado-cuenta,2,2,00:00:21,0,"0
sinfronterasviajes,administracion,estado-cuenta,2,2,00:00:00,0,"0
tahiti,administracion,estado-cuenta,2,1,00:00:58,0,"0
tibaldiway,administracion,estado-cuenta,tipo,productos,2,1,00:00:15
tierrasygentes,administracion,estado-cuenta,2,1,00:04:59,0,"0
tikva,administracion,estado-cuenta,2,1,00:00:49,0,"0
travelsolutions,administracion,estado-cuenta,2,2,00:00:17,0,"0
turismoestaciondelsol,administracion,estado-cuenta,2,1,00:00:21,0,"0
tuviajeclick,administracion,estado-cuenta,2,2,00:00:10,0,"0
velascoyasociados,administracion,estado-cuenta,2,2,00:09:24,0,"0
yaztravelargentina,administracion,estado-cuenta,tipo,productos,2,1,00:00:57
yolandaliveratour,administracion,estado-cuenta,2,2,00:01:39,0,"0
27grados,administracion,estado-cuenta,1,1,00:00:00,0,"0
agadezviajes,administracion,estado-cuenta,1,1,00:00:00,0,"0
alihuenturismo,administracion,estado-cuenta,1,1,00:00:25,0,"0
allyouneedtravel,administracion,estado-cuenta,1,1,00:00:12,0,"0
amazeviajes,administracion,estado-cuenta,1,1,00:00:07,0,"0
atsanjosedemetan,administracion,estado-cuenta,1,1,00:00:00,0,"0
austerdmc,administracion,estado-cuenta,tipo,productos,1,1,00:00:27
babelviajesvicentelopez,administracion,estado-cuenta,1,1,00:00:00,0,"0
babiloniaviajesyturismo,administracion,estado-cuenta,1,1,00:00:18,0,"0
balearesviajesyturismo,administracion,estado-cuenta,1,1,00:00:34,0,"0
barcelonatour,administracion,estado-cuenta,1,1,00:00:04,0,"0
beatrizcabrera,administracion,estado-cuenta,1,1,00:00:00,0,"0
bodegadeviajes,administracion,estado-cuenta,1,1,00:00:07,0,"0
calamuchitaviajes,administracion,estado-cuenta,1,1,00:00:11,0,"0
comdetursacorrientes,administracion,estado-cuenta,1,1,00:07:38,0,"0
criscionetoursandtravel,administracion,estado-cuenta,tipo,productos,1,1,00:00:00
croisviajes,administracion,estado-cuenta,1,1,00:00:00,0,"0
delagranitaliaviajes,administracion,estado-cuenta,tipo,productos,1,1,00:00:07
delfost,administracion,estado-cuenta,1,1,00:00:16,0,"0
edamtravel,administracion,estado-cuenta,1,1,00:00:00,0,"0
