# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201028-20201028
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/10-10-2021/23-10-2021?h1=2,1,1,00:00:59,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/12-11-2021/19-11-2021?h1=2,1,1,00:00:53,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/16-11-2020/21-11-2020?h1=2,1,1,00:01:06,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/16-11-2020/21-11-2020?h1=2-10,11",1,1,00:13:33,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/16-11-2020/21-11-2020?h1=2-10,13",1,1,00:00:33,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/16-11-2020/21-11-2020?h1=2-8,11",1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/25-05-2021/02-06-2021?h1=2&h2=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/25-05-2021/02-06-2021?h1=3-11,1,1,00:01:32,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/25-05-2021/02-06-2021?h1=4,1,1,00:04:19,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/01-05-2021/08-05-2021?h1=2,1,1,00:29:30,1,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/08-10-2021/15-10-2021?h1=2-14,12",1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/08-10-2021/15-10-2021?h1=2&h2=2,1,1,00:06:49,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8066/0/salta-argentina/10-09-2021/18-09-2021?h1=2,1,1,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8066/0/salta-argentina/20-02-2021/21-02-2021?h1=2,1,1,00:02:06,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/8066/0/salta-argentina/20-02-2021/21-02-2021?h1=2-15,17",1,1,00:01:56,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8066/0/salta-argentina/20-02-2021/22-02-2021?h1=2,1,1,00:01:28,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8088/0/san-andres-island-colombia/10-05-2021/17-05-2021?h1=2,1,1,00:06:08,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/04-01-2021/07-01-2021?h1=3-0-1,1,1,00:01:05,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/08-02-2021/09-02-2021?h1=3,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/11-01-2021/15-01-2021?h1=2,1,1,00:00:26,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/11-01-2021/15-01-2021?h1=2-7,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/31-01-2021/04-02-2021?h1=2-5,1,1,00:02:02,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/31-01-2021/04-02-2021?h1=3,1,1,00:11:39,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8146/0/san-martin-de-los-andes-argentina/04-02-2021/07-02-2021?h1=3,1,1,00:03:03,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8146/0/san-martin-de-los-andes-argentina/11-01-2021/14-01-2021?h1=4,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/04-02-2021/08-02-2021?h1=3,1,1,00:24:58,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/04-02-2021/08-02-2021?h1=3-0-1,1,1,00:05:03,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2,1,1,00:04:48,0,"0,00 %","0,00 %","0,00 US$"
