Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
LOLA TOUR,TERRESTRE,"8,711.64","6,271.68",,,,,"3,549.12",983.82,"5,002.97",,,,"24,519.23",Grande,Frecuente,Contactar
CHARATA VIAJES Y TURIS,AÉREO,"5,967.46",,,,713.03,"2,623.39",696.24,,812.74,,272.15,,"11,085.01",Mediano,Frecuente,Contactar
CHARATA VIAJES Y TURIS,TERRESTRE,"5,768.54",,,,,"7,414.22",,,,,,,"13,182.76",Mediano,Poco Frecuente,
EDAM TRAVEL,AÉREO,,,,,,,"4,793.32",,"1,585.03",,,,"6,378.35",Mediano,Poco Frecuente,
EDAM TRAVEL,TERRESTRE,,"1,628.57",,,,,,"2,391.11","11,623.91",,,,"15,643.59",Mediano,Poco Frecuente,
AT AMATO TURISMO,TERRESTRE,"4,347.14","1,588.46","2,118.22","1,531.18",,,,,,"2,540.00","9,838.00",,"21,963.00",Mediano,Frecuente,Contactar
LOZADA ACHAD CASTIGLIA,AÉREO,"10,203.25","5,435.75",,,,220.19,,,125.84,,,,"15,985.03",Mediano,Poco Frecuente,
LOZADA ACHAD CASTIGLIA,TERRESTRE,"2,554.71",,"2,900.65",,,,,,362.35,,,,"5,817.71",Mediano,Poco Frecuente,
MCG VIAJES,AÉREO,"1,679.39",60.85,,,,,,,,,"3,268.98","2,964.16","7,973.39",Mediano,Poco Frecuente,
MCG VIAJES,TERRESTRE,163.00,,,155.00,,,,"7,464.00",,,,"5,262.36","13,044.36",Mediano,Poco Frecuente,
TARGET GROUP,AÉREO,"12,109.95",734.00,,,,,,,"1,589.13",,,,"14,433.08",Mediano,Poco Frecuente,
TARGET GROUP,TERRESTRE,,,"3,982.19",,,,,,,,"2,121.94",,"6,104.13",Mediano,Poco Frecuente,
OHANA VIAJES,AÉREO,"2,944.11",671.15,101.95,,,,,,,,680.94,,"4,398.15",Mediano,Poco Frecuente,
OHANA VIAJES,TERRESTRE,,,,,,"15,684.34",,,,,,,"15,684.34",Mediano,Poco Frecuente,
RADAR VIAJES,AÉREO,"4,792.00",306.03,,"1,641.58","1,804.14",921.44,,,,,,,"9,465.20",Mediano,Frecuente,Contactar
RADAR VIAJES,TERRESTRE,,"3,636.40",939.55,,465.00,623.00,,,741.11,"3,726.93",,,"10,131.99",Mediano,Frecuente,Contactar
